id,name,budget,popularity,release_date,revenue,title,vote_average,vote_count
13567,Ann-Margret,350000,6.224311,1983-11-18,0.0,Sleepaway Camp,6.1,124.0
13567,Ann-Margret,350000,6.224311,1983-11-18,0.0,Sleepaway Camp,6.1,124.0
13567,Ann-Margret,350000,6.224311,1983-11-18,0.0,Sleepaway Camp,6.1,124.0
13567,Ann-Margret,350000,6.224311,1983-11-18,0.0,Sleepaway Camp,6.1,124.0
13567,Ann-Margret,350000,6.224311,1983-11-18,0.0,Sleepaway Camp,6.1,124.0
13567,Ann-Margret,350000,6.224311,1983-11-18,0.0,Sleepaway Camp,6.1,124.0
13567,Ann-Margret,350000,6.224311,1983-11-18,0.0,Sleepaway Camp,6.1,124.0
13567,Ann-Margret,350000,6.224311,1983-11-18,0.0,Sleepaway Camp,6.1,124.0
13567,Ann-Margret,350000,6.224311,1983-11-18,0.0,Sleepaway Camp,6.1,124.0
13567,Ann-Margret,350000,6.224311,1983-11-18,0.0,Sleepaway Camp,6.1,124.0
13567,Ann-Margret,350000,6.224311,1983-11-18,0.0,Sleepaway Camp,6.1,124.0
13567,Ann-Margret,350000,6.224311,1983-11-18,0.0,Sleepaway Camp,6.1,124.0
16523,Burgess Meredith,100000000,12.36223,2009-10-16,100086793.0,Where the Wild Things Are,6.4,580.0
16523,Burgess Meredith,100000000,12.36223,2009-10-16,100086793.0,Where the Wild Things Are,6.4,580.0
16523,Burgess Meredith,100000000,12.36223,2009-10-16,100086793.0,Where the Wild Things Are,6.4,580.0
16523,Burgess Meredith,100000000,12.36223,2009-10-16,100086793.0,Where the Wild Things Are,6.4,580.0
16523,Burgess Meredith,100000000,12.36223,2009-10-16,100086793.0,Where the Wild Things Are,6.4,580.0
16523,Burgess Meredith,100000000,12.36223,2009-10-16,100086793.0,Where the Wild Things Are,6.4,580.0
16523,Burgess Meredith,100000000,12.36223,2009-10-16,100086793.0,Where the Wild Things Are,6.4,580.0
3092,Diane Keaton,0,2.459915,1964-06-19,0.0,Seance on a Wet Afternoon,7.0,29.0
3092,Diane Keaton,0,2.459915,1964-06-19,0.0,Seance on a Wet Afternoon,7.0,29.0
3092,Diane Keaton,0,2.459915,1964-06-19,0.0,Seance on a Wet Afternoon,7.0,29.0
3092,Diane Keaton,0,2.459915,1964-06-19,0.0,Seance on a Wet Afternoon,7.0,29.0
3092,Diane Keaton,0,2.459915,1964-06-19,0.0,Seance on a Wet Afternoon,7.0,29.0
3092,Diane Keaton,0,2.459915,1964-06-19,0.0,Seance on a Wet Afternoon,7.0,29.0
3092,Diane Keaton,0,2.459915,1964-06-19,0.0,Seance on a Wet Afternoon,7.0,29.0
3092,Diane Keaton,0,2.459915,1964-06-19,0.0,Seance on a Wet Afternoon,7.0,29.0
3092,Diane Keaton,0,2.459915,1964-06-19,0.0,Seance on a Wet Afternoon,7.0,29.0
3092,Diane Keaton,0,2.459915,1964-06-19,0.0,Seance on a Wet Afternoon,7.0,29.0
3092,Diane Keaton,0,2.459915,1964-06-19,0.0,Seance on a Wet Afternoon,7.0,29.0
3092,Diane Keaton,0,2.459915,1964-06-19,0.0,Seance on a Wet Afternoon,7.0,29.0
3092,Diane Keaton,0,2.459915,1964-06-19,0.0,Seance on a Wet Afternoon,7.0,29.0
3092,Diane Keaton,0,2.459915,1964-06-19,0.0,Seance on a Wet Afternoon,7.0,29.0
3092,Diane Keaton,0,2.459915,1964-06-19,0.0,Seance on a Wet Afternoon,7.0,29.0
26510,Eugene Levy,0,0.779796,2004-12-03,0.0,School for Seduction,6.0,6.0
